,Board Size,Total time (s),"""Total cost",Nodes expanded,Moves to solve,Branching factor,n_attacks,sideway_limits
278,9,10.000601053237915,389,4216,4,5.308601438827611,8,3
279,9,10.000458240509033,397,4150,5,4.00874116811438,11,4
280,9,10.000221967697144,0,3423,0,3423.0,8,0
281,9,10.001478910446167,0,4168,0,4168.0,7,1
282,9,10.00044584274292,0,4194,0,4194.0,5,2
283,9,10.00150990486145,223,4163,3,8.032516063336203,6,3
284,9,10.002327919006348,0,3440,0,3440.0,9,4
285,9,10.000677108764648,4,3481,1,59.0,13,0
286,9,10.001606941223145,0,4180,0,4180.0,10,1
287,9,10.001305103302002,12,4273,1,65.36818798161687,6,2
288,9,10.031075716018677,541,4311,3,8.102975125515188,8,3
289,9,10.000907897949219,245,4251,1,65.19969325081216,10,4
290,9,10.000568866729736,0,3444,0,3444.0,6,0
291,9,10.000756025314331,208,4074,2,15.971302726595212,9,1
292,9,10.001524925231934,0,4239,0,4239.0,6,2
293,9,4.2792980670928955,640,1338,4,4.219793731819821,0,3
294,9,10.000786066055298,148,4233,3,8.066071494752107,11,4
295,9,10.00123405456543,0,3444,0,3444.0,7,0
296,9,10.001591920852661,0,4150,0,4150.0,11,1
297,9,10.000766038894653,150,4172,2,16.09835251843271,11,2
298,9,10.001667022705078,196,4116,4,5.283175933214461,8,3
299,9,6.099231004714966,388,2560,6,3.068254809268782,0,4
300,10,10.00088381767273,16,2464,1,49.63869458396343,9,0
301,10,10.001369714736938,0,2922,0,2922.0,11,1
302,10,10.034316778182983,741,3003,3,7.402677558510908,13,2
303,10,10.001598119735718,0,3048,0,3048.0,8,3
304,10,10.001683950424194,245,3003,3,7.402677558510908,10,4
305,10,10.001752853393555,0,2447,0,2447.0,7,0
306,10,10.001183032989502,0,2934,0,2934.0,9,1
307,10,10.001912117004395,200,2855,2,14.186285773939566,17,2
308,10,10.003592252731323,1003,2876,4,4.91765181779885,8,3
309,10,10.003008842468262,1107,2964,4,4.947384223861313,12,4
310,10,10.001216888427734,0,2430,0,2430.0,7,0
311,10,10.001749038696289,873,2924,2,14.299662567224813,9,1
312,10,10.001550912857056,0,3039,0,3039.0,10,2
313,10,10.031300067901611,938,2992,4,4.956696387003054,7,3
314,10,10.002898931503296,0,2455,0,2455.0,7,4
315,10,10.001070261001587,0,2473,0,2473.0,10,0
316,10,10.000638246536255,16,2935,1,54.17564028232615,13,1
317,10,10.001123905181885,295,3129,3,7.479135316584932,9,2
318,10,10.002726793289185,781,3079,3,7.449076291461937,11,3
319,10,10.001970052719116,32,2926,1,54.092513345194085,11,4
320,10,10.00194001197815,112,2405,1,49.040799340956916,12,0
321,10,10.001764059066772,0,2822,0,2822.0,14,1
322,10,10.000564098358154,20,2788,1,52.80151512977634,14,2
323,10,10.00172209739685,196,2933,1,54.15717865620402,9,3
324,10,10.003261804580688,958,2410,6,3.041902513990546,10,4
325,10,10.001304149627686,0,2465,0,2465.0,10,0
326,10,10.00144362449646,0,2950,0,2950.0,9,1
327,10,10.000961065292358,75,3094,1,55.62373594069352,7,2
328,10,10.026803255081177,271,3044,4,4.973807004661007,12,3
329,10,10.00071406364441,348,3039,4,4.972171959269876,11,4
330,10,10.00145697593689,0,2481,0,2481.0,9,0
331,10,10.000715732574463,90,3024,2,14.460853585051378,9,1
332,10,10.001620054244995,192,3148,1,56.10704055642215,10,2
333,10,10.00072693824768,310,3076,4,4.984220719532742,10,3
334,10,10.001898050308228,0,2760,0,2760.0,11,4
335,10,10.001250743865967,0,1418,0,1418.0,7,0
336,10,10.001140356063843,0,2896,0,2896.0,9,1
337,10,10.0014488697052,256,2788,1,52.80151512977634,12,2
338,10,10.001707077026367,0,2964,0,2964.0,12,3
339,10,10.00081205368042,126,2949,4,4.942366582475092,13,4
340,10,10.000826120376587,12,2446,1,49.457052075512955,9,0
341,10,10.00043797492981,360,2894,2,14.250589900684975,12,1
342,10,10.000497817993164,16,2740,1,52.3450093132096,9,2
343,10,10.001049995422363,369,2799,3,7.273621949596033,13,3
344,10,10.004440069198608,109,2548,3,7.104767262655114,15,4
345,10,10.001824855804443,81,2347,1,48.4458460551573,12,0
346,10,10.000428199768066,591,2948,2,14.338679575255137,10,1
347,10,10.000605821609497,256,2899,1,53.842362503887216,8,2
348,10,10.000396013259888,477,2198,3,6.847103962911923,9,3
349,10,10.00257420539856,24,2872,2,14.214387322345118,11,4
